Population,HPIQuartile,Vaccinated
5008,4,4206.702375590269
5488,2,3898.7908214639533
2715,2,1998.6611861056106
2894,2,1747.0093325912198
5377,1,3549.416953880982
3247,2,2345.716976097031
4942,2,3445.448150784477
4393,1,2868.2728412912347
4930,1,2729.8606925678223
5103,2,3122.4144892499503
4977,1,2132.3763868563046
4472,1,2801.805798568752
2238,2,1651.6248105117875
3329,2,2209.833541896018
5112,2,3671.724824039728
3885,1,2666.8890353689144
2844,1,1755.3266029982628
2850,1,1977.9191863090834
3269,1,2169.305652027476
4151,2,2849.2803523554526
3963,1,2108.251453821847
4581,1,2165.446755811552
2744,2,1871.3345079534172
2990,2,2136.8986209577665
4357,2,3120.510502243091
3188,2,1831.0147616619502
4227,1,2575.103148292965
4202,2,2907.806575135031
4221,3,3368.241249213936
3875,2,2069.561144512681
9085,2,5579.9006664910585
5255,3,3325.2002045990525
6681,1,2707.962500123733
3900,1,2161.6868743547734
3198,2,1908.9623091021197
2256,0,1678.3495532683653
913,0,497.9784901827693
4735,2,3249.713436162042
4681,2,3588.743416631465
5463,2,3808.677306300202
2355,2,1092.8992784721438
2344,2,1702.4623096627997
3454,2,1296.8743826698314
6109,2,4370.6240297537515
3544,3,2156.248356856743
5833,2,2939.5878049461776
7068,3,3679.7697859207037
5188,3,3626.2373652309807
9346,4,7070.176853946599
6980,4,5913.306826833937
9886,3,7488.52583545322
9273,3,6153.594936244193
6622,4,5612.340043453193
7973,4,6748.693769708583
3891,3,2906.8287550163336
7934,4,6731.8715354864635
3474,4,2948.000164003954
1337,0,926.6219135279825
3273,4,2766.7628843090665
3605,3,2646.2321018415205
6131,3,4332.408688525311
6026,1,4192.254967338691
2816,2,1915.1127211576916
4544,2,3631.5559177113746
3074,2,2186.3364430632782
3935,3,2885.9194149814207
4611,1,3172.9181749774357
3090,2,2307.4046186219407
3453,1,2360.4435372593657
4012,3,2913.813847375768
6100,1,3795.21825200862
6780,2,5009.370618944735
3957,3,2910.28442907001
2568,2,1568.139364483622
5108,2,3283.7636434293795
4571,2,3050.822380550651
2124,1,1419.5497680450248
6691,2,5066.840585451467
3671,2,2821.077143803942
7191,3,5131.323351613287
2995,3,2247.0338340614117
5096,3,3733.1742147232403
1590,3,1127.0327331631893
5263,2,3778.1173298826407
5466,2,3252.8213532521704
5028,2,3396.5103286168637
6454,2,4677.69948792028
5872,1,2913.66475996069
3062,3,2052.8092180552194
1439,0,987.3897942319147
2060,4,1717.6980649116026
3100,3,2315.1684012460405
7017,4,5864.238126343801
3359,2,2146.0145433841576
2645,4,2256.8484076038667
5815,4,4785.642881274132
6234,4,5136.969061499005
6395,4,5414.651795259176
4304,4,3647.7113463976048
5267,3,4116.548210356074
5775,4,4894.17182164731
4069,4,3399.8584857829637
4374,4,3714.683679287988
4867,4,4150.846708493135
5174,4,4122.200785451173
3218,4,2685.230897427517
6271,3,4829.359741192491
2170,3,1790.6833901086165
5914,3,4445.377890481435
5008,3,3703.942579098605
6566,3,4858.450822772345
7095,4,5511.015225980076
3884,4,3021.280632652186
3675,4,3126.614904824421
5594,4,4374.721767895513
3514,3,2524.919930415461
6927,3,4854.54766572995
4506,4,3675.439756987883
6477,4,5349.135331287919
3140,4,2666.9541486587027
4289,2,3132.712756030078
6759,2,5016.932999151002
3694,2,2845.1890404470437
5017,1,3713.9294695323797
3049,4,2501.7915623739873
6776,3,4963.801950847122
5794,4,4762.45463240489
4619,3,3510.7348606900105
3369,4,2858.163411394103
3591,4,3052.5503786815707
4330,4,3564.1238567260734
5398,4,4585.853195472214
2811,4,2389.4664389983673
5577,4,4580.543673159604
3177,4,2696.9625091914654
5346,4,4562.470851735174
5459,4,4490.087423605861
6607,4,5603.921982195627
4611,4,3912.4497923387503
4583,4,3899.84775943414
4213,4,3583.210536546008
3679,4,3110.4698269369405
5357,4,4558.030007887009
3653,4,2979.9578508453455
4816,4,4085.51414389612
5892,4,4984.45979178157
6950,4,5687.395193410368
4767,4,3910.6965540600195
6039,4,5128.70935967539
4120,4,3493.181985083915
6047,4,5112.8171802457955
5380,4,4558.8911562823605
2676,4,2273.0853972842515
7234,4,6147.193621345763
6212,4,5274.882985339391
3418,4,2890.8971634490213
3290,4,2769.7949447048854
5436,4,4576.205491820073
6924,4,5846.776628387679
3646,4,3095.2432296614957
6921,4,5843.983862248959
5937,4,4940.946140433656
4395,4,3730.3169230015783
4411,4,3741.2001338584996
5243,4,4448.178355189772
2594,4,2135.6599150712022
3631,3,2676.2407703808094
1846,4,1522.2903115695267
5517,4,4667.0651103765695
3067,4,2599.1299503699597
5394,4,4576.460254113291
5490,4,4658.230534278292
2468,4,2092.8688660507028
3355,4,2838.9801665835653
3890,4,3300.832334315418
1764,4,1495.9473415390307
6311,4,5341.397385057325
4737,3,3309.6956943356986
12037,3,8345.727343259921
6074,3,4387.197575648689
3934,3,2594.5691743677908
5942,3,4396.477966998452
5406,4,3807.5803744399036
4768,4,3302.0215465790006
10086,4,7003.156039666277
4002,4,3266.1495252930554
5010,4,4069.8717809828586
7318,4,5937.1898404522
6844,4,5804.044370634178
7402,4,6286.374250070692
3358,4,2760.9410091484547
7465,4,6322.890658560763
4740,4,4002.8085933750053
3568,3,1608.3514289108718
5162,4,3566.108501351201
2903,3,1779.5029783888567
4940,2,1864.878480269635
4847,4,4115.34225084057
4777,3,3256.15646965518
1821,4,1258.4378674348795
4193,4,2886.632878570503
5894,4,4473.8765411962795
6396,3,3045.4507940194903
4503,4,3153.3876736563097
4367,4,3494.292284971083
4133,4,3288.229514770726
4370,3,3135.9589011559938
4238,3,3069.476500176221
2626,4,2108.3452229335526
6637,3,4967.135288841486
5172,3,3727.5832192711296
4941,1,2102.9174541957004
4611,3,3638.862105710018
3969,2,2528.212293894335
5554,2,3383.276056100186
4734,2,3550.1575010245156
4806,2,2941.557345702222
4853,2,2987.371329185994
3089,2,1882.7941981010447
5803,2,4964.873337396391
2406,2,1823.2990885022643
2677,4,2155.533617163726
4962,3,3420.921284452584
6806,3,4770.388925128114
3979,1,1557.6160053714805
4182,2,2438.738055729139
3942,1,1511.5425438781408
5423,1,2987.3313122132386
6268,1,3732.9159302951125
3294,4,2542.9166172900887
5533,1,3146.532614478152
5310,3,4242.718947613873
5580,1,3402.3975756795803
6385,2,4730.613328885384
4227,4,3534.7334266643156
3659,4,3106.373187934972
2657,4,2208.774673523806
1248,0,995.6051059452512
3135,3,2613.2441395981264
2378,3,1829.9711779259617
2393,3,1748.8883893355182
1882,4,1519.2842121521007
1634,3,1169.8334086387786
2110,4,1727.2415051284845
1612,4,1330.323317235152
2432,4,2000.987091258312
2347,4,1986.551836445928
9906,2,7371.886671739634
2849,4,1952.3549193881881
0,0,0.0
3599,1,2512.330001338405
3510,1,2083.7060648670786
1723,1,1327.019303541656
6462,2,4714.488676519018
6861,1,3243.286622429193
3465,2,2025.5989771293744
1287,0,558.209518682318
0,0,0.0
4428,2,3321.4584612669414
2310,2,1671.3937814369228
2678,2,2002.4931326837489
3351,3,2323.753811394824
3523,2,2199.775486026264
2529,3,1580.8512080850435
2793,3,1901.6512095446017
2572,3,1581.6105224995558
4822,3,2727.3724880258433
6489,2,3144.8628802085072
3426,2,1619.2382309932987
5959,4,4979.668046609265
5560,4,4696.775395689876
5738,4,4857.224412617157
4594,4,3785.109395409967
4786,4,4044.0084230433886
3839,3,2725.081231924451
6840,3,4809.769612277284
6091,3,4248.498417237615
3751,4,3033.027943387926
6492,4,5255.436115460389
2299,3,1716.4208240239732
3169,3,2345.4060537868986
2906,3,1780.2100101264639
4523,4,3813.130513553084
5700,3,4091.7326505111714
5129,3,3685.5738991583844
4953,2,3730.784619728662
3271,3,1958.8219063777804
4434,2,2960.025633986984
5691,2,2500.813640595417
2305,3,1373.0083697892953
2319,3,1583.194220232422
5241,3,3426.6357034999264
5738,2,4263.278888646632
2702,3,1693.3295689297397
5051,3,3433.171543633729
3817,2,2703.5893387830824
2437,4,2034.7324428087568
6187,4,5014.912179117797
129,0,55.23284511580748
973,0,470.40323099789646
0,0,0.0
2855,0,2465.287445800274
2779,1,1945.1157708865978
3295,1,2374.074275723621
5728,1,3455.5129570736385
2435,1,1782.8429617588438
3201,1,2366.370852935728
5413,1,3747.1197047399664
3584,1,2294.9468467224947
836,0,610.064160486904
2718,1,1794.9933030540349
4595,1,3175.2335856687796
3622,1,2585.202987430436
2872,1,1962.7361481553855
5280,1,2975.922310656927
4210,1,2836.0796966889884
5084,1,3426.709787771152
2588,1,1623.0167961048166
5091,1,3386.2997281609883
4100,1,3060.9142301541438
2445,1,1746.059668210774
1734,2,1271.8304052691906
8262,2,5344.938007990539
4685,1,3189.1492523230254
2609,2,1906.04587484872
4145,3,3051.9855851172065
6732,2,4648.004248707257
2054,1,997.227596595672
4702,2,3402.1184243793987
5276,2,3371.308047152456
4271,1,3217.429166982714
2692,1,1428.7478450238652
5767,1,4548.296126786892
5011,1,3532.4892616657203
3351,1,2519.198606596587
3330,1,2460.623274469193
4423,1,3081.7879967069975
4433,1,3113.775901508742
4752,1,3304.9301339354593
5154,1,3663.723198865674
3204,1,2245.209724505264
4228,1,2831.5851341143116
5159,1,3608.671028592872
4528,1,3134.4832852507975
3824,1,2915.105595450782
2667,1,1808.9587665540414
2559,1,1862.7634426342095
4924,1,3374.897371376077
2833,1,1952.5300701001977
3678,1,2530.540560460568
2121,1,1411.6244632395592
6384,1,4605.004563622837
5207,1,3365.4555333048793
3530,2,2427.2082221671217
3991,1,2686.505766234641
4709,1,3099.7678617945758
3223,1,2263.128461035433
4319,1,2818.1613200341562
4176,1,2824.718193171592
5212,1,3811.261388498551
3732,3,2906.9621951503314
3013,1,2121.899347005853
4451,1,3383.6208559175125
7444,1,4385.410632935371
5075,2,3878.6382877443716
6200,1,4547.22305135456
3059,1,1983.1623218346335
4636,2,3439.61859117168
4335,1,3089.1432100909533
4865,2,3667.6125281943705
5226,1,2998.0328134191045
6506,2,4485.607753904987
6411,1,4173.492550391141
3019,1,1438.0424588937
5279,1,3942.069828363556
7246,2,4802.162233946051
6687,3,4994.990925190858
3207,2,2492.8532909563096
5808,2,4283.121912523049
9776,2,7518.975053428974
3027,3,2263.954427698399
4738,3,3549.1398503835458
4070,2,2838.5402598674896
2421,3,1790.9897355392768
3749,4,3184.6676388663627
4703,4,3996.482703103803
4017,3,3038.369008428135
3238,1,2324.6727053615764
3882,4,3304.371246306059
4904,3,3771.230402231999
3289,3,2483.9627985303646
3280,3,2501.6383264864667
4503,2,3285.57715999137
4436,2,3841.2355121110268
4449,1,3410.1576254089873
3050,3,2350.7488351066095
2519,2,1960.172205195441
2417,4,2054.3328569814735
6030,1,4082.506318224157
3800,1,2624.7182072770374
4578,1,3120.9432935487944
4080,1,2657.444631107035
4123,1,3064.167469277667
3653,2,2859.303156954494
1813,2,1273.0073457707847
3645,2,2709.9873837103555
5203,1,3699.8490346251047
3247,1,2288.9628083473544
4110,1,2869.9371936816774
3772,1,2671.6188034593565
5297,2,4225.258223711776
4783,1,3337.275828687737
4879,1,3200.7253061256947
3333,1,2232.1838344377957
3796,1,2436.3272858156556
3938,2,3216.0753359929918
3695,2,2714.538481823864
2970,3,2326.894413857589
1256,0,926.2987586795833
3309,2,2383.639558796453
3022,2,2287.80636448955
4052,4,3429.9663767440306
2139,3,1600.7259080613248
6101,3,4628.683903360925
5424,3,4189.736276622273
5353,4,4551.483062212989
4356,2,3229.4261845993847
4765,2,3647.6399361516815
4502,3,3412.2362927315075
2787,3,2102.0015795318113
3767,3,2891.0470352045945
1598,3,1043.2856377676055
5262,3,4544.706732738185
7044,4,5918.850205093227
2463,4,2080.1702630879995
2487,4,2103.4655826862745
4073,4,3444.660973721649
4265,4,3618.0226091991863
1188,0,747.400385309897
5049,2,4108.225227831781
1402,3,1101.291950419764
3590,3,2716.7824943734004
3668,2,2797.7070996259345
2884,2,2449.8807954688896
3434,2,2562.8268733626196
4943,3,3717.2721397594596
4956,3,3390.7496632921097
5120,2,3716.944063119452
4585,2,3483.451422816588
4018,4,3261.856755215477
6153,2,4549.00047872028
3408,3,2607.5561004061424
3887,3,2626.131654822972
6443,3,3590.7304899759106
2140,2,1183.6948340809747
2823,3,2033.577927389009
4210,3,2733.7334039279435
3117,3,2202.2848639572603
3163,3,2171.026378316787
8101,2,6166.718048401446
6860,2,5003.405258041249
2289,1,1549.5257676662136
6184,1,4295.630645920271
6740,2,4172.176488862644
2833,2,1417.8204145685106
5965,1,3018.8707523556964
4678,3,2857.615178180548
4539,2,3056.086831295662
5805,1,4056.066242977668
3688,1,2756.009399396584
5043,1,3415.1653520255536
1890,1,1355.137057546154
7173,1,5669.810280170458
5771,2,4198.653832386071
3627,1,2334.2373559512657
2890,1,1517.1086284873084
4092,1,3094.7324634707643
7167,1,4856.729932087823
5072,2,3860.450492804646
7126,1,4856.6661193860955
7085,2,5137.706387704066
4680,2,3577.235864644154
4467,1,2292.9938827781693
3253,1,1936.7539122629053
4854,1,3608.2861850668596
4336,1,2106.05873515577
5052,1,3375.219106945676
2474,1,1564.7576682771678
4618,1,2658.458551762759
5652,0,3116.7182026642454
2500,1,1311.7843664109453
4904,2,3699.2685133406103
5135,2,4056.6896826000097
6216,1,3531.0783496986032
5271,1,3504.378078109905
5879,1,3572.001263899947
7229,1,5545.931647648104
1052,0,621.360633718273
4030,1,2852.4090202430298
7042,1,4971.685973699851
7478,1,5049.7760272683
4569,2,3837.974951078014
2255,1,987.1730583514446
7000,2,5204.365345945813
3179,2,2344.3602892408358
1463,1,605.9862879582367
4617,1,3214.4841437891187
5771,3,4438.74925204521
5160,2,3862.9412470122384
3639,1,2209.6741253463165
4035,1,2907.8045708660784
4589,3,3418.9073653606206
5047,3,3703.5678882092234
4391,3,3204.821123213771
4865,3,3282.1784954914583
5741,2,4550.922140422245
6041,3,4137.9884978181035
4537,3,3004.037122545912
1388,0,876.886078388461
2694,1,871.9307149173331
2851,2,1385.4218469160292
3435,2,1917.076492525119
3464,3,2490.9870078575964
6163,3,4562.594823970427
4940,2,3600.9499772336903
1739,3,1140.4756234670508
6592,3,4229.001325943655
4442,2,2722.039879331139
4181,2,3202.7710467698075
3934,2,2189.8887093351827
4120,2,2923.372697550936
4631,2,3240.4878412267653
3055,2,1622.0573989765016
4146,2,1588.9195690589336
3942,2,1513.6434189459947
2735,1,904.5340669689555
0,0,0.0
4582,0,2821.7691472806396
4579,1,2720.996067846119
2378,1,1731.361828620791
889,0,670.8323634339956
6371,1,4423.519062091731
6003,1,4092.958415437104
6391,2,4855.55900615503
3926,1,2867.275778290537
1275,0,984.6416383639082
6261,1,4474.424630573756
11063,2,6613.023232813411
3389,1,1577.6749487061613
5548,2,4239.506259392528
4943,1,3747.3735162533094
9528,1,5259.961638354916
4160,1,2888.8120459436855
5753,1,3908.830968926691
5785,1,3946.4664690144673
4491,1,3194.666352544135
3601,3,2782.612920358386
4561,2,3524.158859766595
5409,2,4259.165260541235
10058,2,6587.022231726611
3536,1,2534.3904263021254
8941,2,6224.106617212152
6444,1,4850.640784643634
7221,1,5531.64955513722
5545,0,2511.4875807428084
4358,1,2102.9864857712682
1240,0,556.8075423341196
2773,1,1631.7782532212793
2595,3,1992.6114358586563
1666,3,1049.4909155179048
2370,4,2004.1129704120879
5232,3,4126.916646812961
2424,3,1287.398175322223
3189,2,1022.5759667267288
11026,1,7335.213846990366
2815,1,1992.246402609758
6954,1,5095.865621066865
3827,1,2805.6088215403174
3912,1,2716.5944047431967
5905,3,4361.730023793874
3806,2,2738.2507430887713
3603,3,2718.2085230562147
2568,3,2013.068634898543
3329,2,2385.4804615189355
6037,1,4616.586743983619
4459,2,3434.4065867226223
4546,1,3283.6187212892496
3069,1,2079.713152166531
3370,2,2449.03639681288
3687,2,2867.286619019066
2270,1,1636.803438256599
3912,1,2861.8437580110804
2227,1,1579.2256266540758
5029,2,3615.5527569048363
2309,3,1699.1246058020326
9085,2,6462.510432864863
8282,1,5268.3817863568465
3976,1,2707.6151683257444
5975,1,4241.424430863898
4216,1,3019.5532357623047
2634,1,1906.6486474994815
5363,1,4132.327270876896
6517,1,4383.362875840546
6840,1,4731.448048884493
2846,1,1790.1400832589725
1285,1,907.5202860950733
3983,3,3069.5677970315264
5139,1,3411.0296678214
5025,2,3840.4251026434417
3145,2,2359.6298434935893
4183,1,2875.937009242728
6336,1,4314.415023540231
3425,1,2507.780828852154
5677,1,3575.1185837148323
8775,1,5928.706878268383
2965,1,1921.8285505516576
6548,1,4185.780646878024
8021,1,5528.947754972828
3199,1,2177.3143918821083
4884,1,3412.010127939123
2627,3,1929.4924389023713
2075,2,1541.3670872470555
3707,3,2689.395383426418
6879,3,5106.870985773497
3723,4,3165.755350854652
4671,1,3275.658934441944
3755,1,2829.448086032575
3753,1,2726.931504417385
3842,1,2616.715172443339
4941,1,3491.8861417276553
4644,1,3155.4570644086
3549,3,2613.4324726690916
4193,2,3128.9217280080793
5848,3,4452.460814773343
4475,3,3391.2672018130966
6741,1,4749.687570508776
6595,1,5148.318386464863
3609,1,2379.6605296309735
4634,1,3223.848244050364
