ZIP,Rates,X,Y,RC
90059,0.633817,0.107,0.076,1
90201,0.711075,0.076,0.064,1
90277,0.850892,0.039,0.625,4
90290,0.824042,0.065,0.709,4
90302,0.672451,0.106,0.294,2
90503,0.870397,0.039,0.546,4
90605,0.767276,0.055,0.186,2
90606,0.737901,0.049,0.151,2
90703,0.883437,0.06,0.527,3
90732,0.694354,0.067,0.40700000000000003,3
